Category: All categories

Week,coronavirus: (United States),covid: (United States),covid 19: (United States)
2019-12-01,<1,0,0
2019-12-08,<1,<1,0
2019-12-15,<1,<1,0
2019-12-22,<1,0,0
2019-12-29,<1,0,0
2020-01-05,<1,<1,0
2020-01-12,<1,0,0
2020-01-19,5,<1,0
2020-01-26,13,<1,0
2020-02-02,8,<1,0
2020-02-09,6,<1,<1
2020-02-16,4,<1,<1
2020-02-23,17,1,<1
2020-03-01,30,2,1
2020-03-08,75,7,5
2020-03-15,100,19,13
2020-03-22,77,23,15
2020-03-29,62,24,15
2020-04-05,62,21,12
2020-04-12,47,17,9
2020-04-19,39,15,8
2020-04-26,22,14,7
2020-05-03,19,14,6
2020-05-10,17,13,6
2020-05-17,14,13,5
2020-05-24,12,11,5
2020-05-31,9,10,4
2020-06-07,9,10,4
2020-06-14,10,13,4
2020-06-21,12,16,6
2020-06-28,13,20,6
2020-07-05,13,21,6
2020-07-12,13,21,6
2020-07-19,10,18,4
2020-07-26,9,17,4
2020-08-02,7,16,3
2020-08-09,6,14,3
2020-08-16,5,13,3
2020-08-23,5,11,2
2020-08-30,5,12,2
2020-09-06,4,10,2
2020-09-13,4,10,2
2020-09-20,4,10,2
2020-09-27,4,13,2
2020-10-04,4,14,2
2020-10-11,4,12,2
2020-10-18,4,13,2
2020-10-25,5,15,2
2020-11-01,4,12,2
2020-11-08,5,20,3
2020-11-15,6,26,3
2020-11-22,5,19,2
2020-11-29,4,19,2
2020-12-06,4,21,3
2020-12-13,4,21,3
2020-12-20,4,21,2
2020-12-27,4,22,2
2021-01-03,3,21,2
2021-01-10,3,22,2
2021-01-17,3,21,2
2021-01-24,3,20,2
2021-01-31,2,19,2
2021-02-07,2,18,2
2021-02-14,2,16,1
2021-02-21,2,17,2
2021-02-28,2,19,2
2021-03-07,2,21,2
2021-03-14,2,19,1
2021-03-21,2,18,1
2021-03-28,2,20,1
2021-04-04,2,18,1
2021-04-11,2,15,1
2021-04-18,2,13,1
2021-04-25,2,15,1
2021-05-02,1,12,1
2021-05-09,1,12,1
2021-05-16,1,10,1
2021-05-23,1,9,1
2021-05-30,1,8,1
2021-06-06,1,7,1
2021-06-13,1,7,1
2021-06-20,1,7,1
2021-06-27,1,7,1
2021-07-04,1,7,1
2021-07-11,1,9,1
2021-07-18,1,13,1
2021-07-25,2,16,1
2021-08-01,2,23,1
2021-08-08,2,21,2
2021-08-15,2,21,1
2021-08-22,1,22,2
2021-08-29,1,22,1
2021-09-05,1,17,1
2021-09-12,1,15,1
2021-09-19,1,14,1
2021-09-26,1,13,1
2021-10-03,1,12,1
2021-10-10,1,10,1
2021-10-17,1,10,1
2021-10-24,1,10,1
2021-10-31,1,11,1
2021-11-07,1,11,1
2021-11-14,1,12,1
2021-11-21,1,12,1
2021-11-28,1,14,1
2021-12-05,1,12,1
2021-12-12,1,16,1
2021-12-19,1,28,2
2021-12-26,1,36,2
2022-01-02,1,36,2
2022-01-09,1,30,2
2022-01-16,1,30,1
2022-01-23,1,16,1
2022-01-30,1,11,1
2022-02-06,1,9,1
2022-02-13,1,8,<1
2022-02-20,1,6,<1
2022-02-27,<1,6,<1
2022-03-06,<1,6,<1
2022-03-13,<1,6,<1
2022-03-20,<1,5,<1
2022-03-27,<1,5,<1
2022-04-03,<1,5,<1
2022-04-10,<1,5,<1
2022-04-17,<1,5,<1
